type,model,origin,destination,distance,duration
car,cross,1:0,0:2,191.1,13.9
car,cross,1:0,0:3,195.6,14.2
car,cross,2:0,0:1,191.38,14.3
car,cross,2:0,0:3,191.1,13.9
car,cross,3:0,0:1,195.6,14.2
car,cross,3:0,0:2,191.38,14.3
car,cross,4:0,0:1,191.1,13.9
car,cross,4:0,0:2,195.6,14.2
car,cross,4:0,0:3,191.38,14.2
bus,cross,1:0,0:2,183.4,13.3
bus,cross,1:0,0:3,187.9,13.6
bus,cross,2:0,0:1,183.68,13.7
bus,cross,2:0,0:3,183.4,13.3
bus,cross,3:0,0:1,187.9,13.6
bus,cross,3:0,0:2,183.68,13.7
bus,cross,4:0,0:1,183.4,13.3
bus,cross,4:0,0:2,187.9,13.6
bus,cross,4:0,0:3,183.68,13.7
lgv,cross,1:0,0:2,188.9,13.7
lgv,cross,1:0,0:3,193.4,14.0
lgv,cross,2:0,0:1,189.18,14.1
lgv,cross,2:0,0:3,188.9,13.7
lgv,cross,3:0,0:1,193.4,14.0
lgv,cross,3:0,0:2,189.18,14.1
lgv,cross,4:0,0:1,188.9,13.7
lgv,cross,4:0,0:2,193.4,14.0
lgv,cross,4:0,0:3,189.18,14.1
hgv,cross,1:0,0:2,188.3,13.6
hgv,cross,1:0,0:3,192.8,14.0
hgv,cross,2:0,0:1,188.58,14.0
hgv,cross,2:0,0:3,188.3,13.6
hgv,cross,3:0,0:1,192.8,14.0
hgv,cross,3:0,0:2,188.58,14.0
hgv,cross,4:0,0:1,188.3,13.6
hgv,cross,4:0,0:2,192.8,14.0
hgv,cross,4:0,0:3,188.58,14.0
motorcycle,cross,1:0,0:2,193.2,14.1
motorcycle,cross,1:0,0:3,197.7,14.4
motorcycle,cross,2:0,0:1,193.48,14.5
motorcycle,cross,2:0,0:3,193.2,14.1
motorcycle,cross,3:0,0:1,197.7,14.4
motorcycle,cross,3:0,0:2,193.48,14.5
motorcycle,cross,4:0,0:1,193.2,14.1
motorcycle,cross,4:0,0:2,197.7,14.4
motorcycle,cross,4:0,0:3,193.48,14.5
car,corridor,11:10,12:13,378.62,28.6
car,corridor,11:10,14:15,457.86,33.6
car,corridor,11:10,16:17,607.86,44.4
car,corridor,11:10,18:19,607.35,45.0
car,corridor,11:10,4:6,288.0,20.9
car,corridor,11:10,5:7,615.66,45.0
car,corridor,11:10,8:9,295.8,21.4
car,corridor,13:12,10:11,379.33,27.5
car,corridor,13:12,14:15,363.29,26.3
car,corridor,13:12,16:17,513.29,37.2
car,corridor,13:12,18:19,512.78,37.8
car,corridor,13:12,4:6,387.13,28.0
car,corridor,13:12,5:7,521.09,37.7
car,corridor,13:12,8:9,378.82,28.1
car,corridor,15:14,10:11,463.29,33.6
car,corridor,15:14,12:13,363.29,26.3
car,corridor,15:14,16:17,429.33,31.1
car,corridor,15:14,18:19,428.82,31.7
car,corridor,15:14,4:6,471.09,34.1
car,corridor,15:14,5:7,437.13,31.7
car,corridor,15:14,8:9,462.78,34.1
car,corridor,17:16,10:11,607.86,44.4
car,corridor,17:16,12:13,507.86,37.2
car,corridor,17:16,14:15,428.62,32.2
car,corridor,17:16,18:19,295.8,21.4
car,corridor,17:16,4:6,615.66,45.0
car,corridor,17:16,5:7,288.0,20.9
car,corridor,17:16,8:9,607.35,45.0
car,corridor,19:18,10:11,605.2,43.8
car,corridor,19:18,12:13,505.2,36.6
car,corridor,19:18,14:15,425.96,31.6
car,corridor,19:18,16:17,295.8,21.4
car,corridor,19:18,4:6,613.0,44.4
car,corridor,19:18,5:7,290.66,21.5
car,corridor,19:18,8:9,604.69,44.4
car,corridor,6:4,10:11,287.49,21.5
